id,module,declaration,status,scope,notes
PCRL-AFF-ODD-001,OddCuspAffine,PCRLean.OddCuspAffine.marked_cusp_permissible,PENDING_CI,actual polynomial centre,"source ideal and two chart homomorphisms"
PCRL-AFF-TAME-001,TameQuadraticAffine,PCRLean.TameQuadraticAffine.marked_equation_permissible,PENDING_CI,actual polynomial centre,"tame branch charts"
PCRL-AFF-ASQ-001,ASQAffine,PCRLean.ASQAffine.marked_equation_permissible,PENDING_CI,actual polynomial centre,"ASQ branch charts"
PCRL-OPEN-ENTRY,,Universal intrinsic packetization,OPEN_GEOMETRY,arbitrary inputs,"no finite presentation-independent theorem"
PCRL-OPEN-CENTRE,,Universal actual regular centre,OPEN_GEOMETRY,arbitrary directions,"conormal/Fitting effectivity missing"
PCRL-OPEN-LEGAL,,Universal joint active/passive/SNC legality,OPEN_GEOMETRY,all owners,"passive Tor and normal-flatness unresolved beyond split Morita chamber"
PCRL-OPEN-REENTRY,,Universal all-chart hereditary reentry,OPEN_GEOMETRY,all descendants,"cleaning/saturation/normalization no-reset unresolved"
PCRL-OPEN-QLK,,Fully quasilinear rank-zero radicial core,OPEN_GEOMETRY,Progress 283 frontier,"no universal actual core theorem"
PCRL-OPEN-BIRTH,,Universal geometric birth trichotomy,OPEN_GEOMETRY,AFPM-006 frontier,"source witness realization missing"
PCRL-OPEN-DEFECT,,Projection-free immediate-defect escape,OPEN_GEOMETRY,valuation frontier,"actual finite-type centre word missing"
PCRL-OPEN-GLOBAL,,Global functorial finite serialization,OPEN_GEOMETRY,schemes,"local centres not yet globally compiled"
PCRL-OPEN-MAIN,,Arbitrary-dimensional positive-characteristic resolution,OPEN_GEOMETRY,main theorem,"not Lean verified"
